Unnamed: 0,id,words,ner_tags,marked_sentence,ner_type,entity_words,translated_belarusian,translated_slovenian,translated_slovak,be_feats,sl_feats,sk_feats
0,en-doc6303-sent11,"['The', '[OSI]', 'list', 'only', 'lists', 'licenses', 'that', 'have', 'been', 'submitted', ',', 'considered', 'and', 'approved', '.']","[0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The [OSI] list only lists licenses that have been submitted , considered and approved .",ORG,OSI,"У спісе [OSI] пералічваюцца толькі ліцэнзіі, якія былі прадстаўлены, разгледжаны і зацверджаны.","Na seznamu [OSI] so samo navajali licence, ki so bila predložena, obravnavana in odobrena.","Zoznam [organizácia] uvádza iba licencie, ktoré boli predložené, zvážené a schválené.",[],['Case=Nom|Gender=Fem|Number=Plur'],['Case=Nom|Gender=Fem|Number=Sing']
1,en-doc6136-sent3,"['With', '8,867', 'square', 'miles', '(', '22,960', 'km²', ')', 'of', 'land', 'and', '320,000', 'people', '(', '2008', 'est.', ')', ',', 'the', 'population', 'density', 'of', '[Belize]', 'is', 'the', 'lowest', 'in', 'the', 'Central', 'American', 'region', ',', 'and', 'it', 'also', 'has', 'one', 'of', 'the', 'lowest', 'population', 'densities', 'in', 'the', 'world', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","With 8,867 square miles ( 22,960 km² ) of land and 320,000 people ( 2008 est. ) , the population density of [Belize] is the lowest in the Central American region , and it also has one of the lowest population densities in the world .",LOC,Belize,Маючы 8 867 квадратных міль (22 960 км²) зямлі і 320 000 чалавек (2008 г. па EST,"Z 8.867 kvadratnimi miljami (22.960 km²) zemlje in 320.000 ljudi (2008 Est.) Je gostota prebivalstva [vas] najnižja v srednjeameriški regiji, poleg tega pa ima tudi eno najnižjih gostot prebivalstva na svetu.",Hustota obyvateľstva [dedina] je najnižšia v stredoamerickom regióne s 8 867 štvorcových míľ (22 960 km²) a 320 000 ľudí (2008) a má tiež jednu z najnižších hustoty obyvateľstva na svete.,[],['Case=Nom|Gender=Fem|Number=Sing'],['Case=Nom|Gender=Fem|Number=Sing']
2,en-doc5857-sent10,"['After', 'her', 'child', 'was', 'born', ',', 'she', 'had', 'breast', 'implants', 'and', 'appeared', 'in', 'a', 'June', '1989', '[Playboy]', 'pictorial', ',', 'but', 'her', 'career', 'remained', 'in', 'the', 'doldrums', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","After her child was born , she had breast implants and appeared in a June 1989 [Playboy] pictorial , but her career remained in the doldrums .",ORG,Playboy,"Пасля таго, як нарадзілася яе дзіця, у яе былі грудныя імплантаты і з'явілася ў чэрвені 1989 г. [арганізацыя], але яе кар'ера засталася ў дэпутаце.","Potem ko se je rodil njen otrok, je imela prsne vsadke in se pojavila v juniju 1989 [organizacija] slikovni, vendar je njena kariera ostala v Doltrumih.","Po narodení jej dieťaťa mala implantáty prsníkov a objavila sa v obraze v júni 1989 [organizácia], ale jej kariéra zostala v doldrumoch.",[],['Case=Nom|Gender=Fem|Number=Sing'],['Case=Nom|Gender=Fem|Number=Sing']
3,en-doc6435-sent49,"['To', '[Eugene]', 'it', 'was', ""'"", 'an', 'event', 'that', 'which', 'is', 'seldom', 'to', 'be', 'found', 'in', 'history', ""'"", '.']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",To [Eugene] it was ' an event that which is seldom to be found in history ' .,PER,Eugene,"[мужчына] гэта была ""падзея, якую рэдка можна знайсці ў гісторыі"".","Za [moški] je bil ""dogodek, ki ga redko najdemo v zgodovini"".","[muž] to bola „udalosť, ktorá sa má zriedka nájsť v histórii“.",['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
5,en-doc6145-sent25,"['In', '[Chile]', 'public', 'outrage', 'over', 'the', 'treaty', 'forced', 'the', 'government', 'to', 'reject', 'it', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",In [Chile] public outrage over the treaty forced the government to reject it .,LOC,Chile,У [горад] грамадскае абурэнне з нагоды дагавора прымусіла ўрад адхіліць яго.,"V [kraj] ogorčenosti javnosti nad pogodbo je prisililo vlado, da jo zavrne.","V [dedina] verejnom pobúrení nad zmluvou prinútilo vládu, aby ju odmietla.",['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Fem|Number=Sing']
6,en-doc5981-sent41,"['(', 'The', '[USSR]', 'N1', 'was', 'approximately', 'as', 'powerful', ',', 'but', 'it', 'was', 'never', 'successful', '.', ')']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","( The [USSR] N1 was approximately as powerful , but it was never successful . )",LOC,USSR,"([горад] N1 быў прыблізна такі ж магутны, але ніколі не быў паспяховым.)","([kraj] N1 je bil približno tako močan, vendar nikoli ni bil uspešen.)","([hrad] N1 bol približne taký silný, ale nikdy nebol úspešný.)",[],['Case=Nom|Gender=Masc|Number=Sing'],[]
7,en-doc6090-sent8,"['According', 'to', '[Hahnemann]', ',', 'initial', 'exposure', 'to', 'miasms', 'causes', 'local', 'symptoms', ',', 'such', 'as', 'skin', 'or', 'venereal', 'diseases', ',', 'but', 'if', 'these', 'symptoms', 'are', 'suppressed', 'by', 'medication', ',', 'the', 'cause', 'goes', 'deeper', 'and', 'begins', 'to', 'manifest', 'itself', 'as', 'diseases', 'of', 'the', 'internal', 'organs', '.']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","According to [Hahnemann] , initial exposure to miasms causes local symptoms , such as skin or venereal diseases , but if these symptoms are suppressed by medication , the cause goes deeper and begins to manifest itself as diseases of the internal organs .",PER,Hahnemann,"Паводле [мужчына], першапачатковае ўздзеянне міасмы выклікае мясцовыя сімптомы, такія як скурныя або венерычныя захворванні, але калі гэтыя сімптомы душацца пры дапамозе лекаў, прычына ідзе глыбей і пачынае выяўляцца як хваробы ўнутраных органаў.","Po besedah ​​[moški] začetna izpostavljenost miasmim povzroči lokalne simptome, kot so kožne ali venerealne bolezni, če pa so ti simptomi zavirani z zdravili, se vzrok poglobi in se začne manifestirati kot bolezni notranjih organov.","Podľa [muž], počiatočná expozícia miasmom spôsobuje lokálne príznaky, ako sú kožné alebo pohlavné ochorenia, ale ak sú tieto príznaky potlačené liekmi, príčina prechádza hlbšie a začína sa prejavovať ako choroby vnútorných orgánov.",[],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
8,en-doc6435-sent37,"['""', 'He', 'who', 'has', 'not', 'seen', 'this,', '""', 'wrote', '[Eugene]', ',', '""', 'has', 'seen', 'nothing', '.', '""']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",""" He who has not seen this, "" wrote [Eugene] , "" has seen nothing . """,PER,Eugene,"""Той, хто гэтага не бачыў"", - напісаў [мужчына], ""нічога не бачыў"".","""Kdor tega ni videl,"" je zapisal [moški], ""ni videl ničesar.""","„Ten, kto to nevidel,“ napísal [muž], „nič nevidel.“",['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
9,en-doc6244-sent57,"['[List]', ""'s"", 'age', ',', 'facial', 'features', ',', 'and', 'build', 'were', 'similar', 'to', 'those', 'described', 'for', 'the', 'mysterious', 'skyjacker', '.']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[List] 's age , facial features , and build were similar to those described for the mysterious skyjacker .",PER,List,"[мужчына] Узрост, рысы асобы і зборкі былі падобныя на апісаныя для загадкавага Skyjacker.","[moški] Starost, obrazne lastnosti in gradnja so bili podobni tistim, ki so bili opisani za skrivnostni Skyjacker.","Vek [muž], črty tváre a stavba boli podobné tým, ktoré boli opísané pre tajomného Skyjacker.",['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
10,en-doc6259-sent9,"['Four', 'years', 'later', ',', 'in', '686', ',', 'plague', 'broke', 'out', 'at', '[Jarrow]', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","Four years later , in 686 , plague broke out at [Jarrow] .",LOC,Jarrow,"Праз чатыры гады, у 686 годзе, чума ўспыхнула ў [горад].","Štiri leta pozneje, leta 686, je Plaga izbruhnila na [kraj].","O štyri roky neskôr, v roku 686, vypukol mor v [hrad].",['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
